"","tissue_cluster","an1","Antioxidant_fusion","Response_fusion","Generation_fusion","anti_all","resp_all","gener_all","tissue","system","system1","color"
"298","Heart_12",-0.293583950590953,5.21707821345743e-08,3.84576196065235e-07,3.17215938801182e-07,-0.323525791583347,-0.0747941146400382,-0.0289284775363339,"Heart","Circulation system",1,"#00008B"
"299","Heart_13",-0.141948453145727,1.06927278287501e-07,4.21455189709765e-07,1.57658260495806e-06,-0.217253861683938,-0.0633700278012725,0.127444025607147,"Heart","Circulation system",1,"#00008B"
"300","Heart_14",-0.303440717995672,5.78401167050951e-08,4.49830897372468e-07,7.29272300150116e-07,-0.316644230887507,-0.0253113568991539,-0.00773577206166642,"Heart","Circulation system",1,"#00008B"
"301","Heart_15",-0.205258965222305,4.92507335095476e-08,3.33040818281115e-07,1.96539908392088e-07,-0.31471434472266,-0.0896207292537605,-0.0475113062942667,"Heart","Circulation system",1,"#00008B"
"302","Heart_16",-0.267151080485725,4.7618853682803e-08,5.41985248054565e-07,1.50057807485998e-07,-0.29456040392999,-0.0368791133655371,-0.102789422325758,"Heart","Circulation system",1,"#00008B"
"303","Heart_17",-0.309167252896417,5.67007433078725e-08,1.27299316615354e-06,2.54059011547608e-06,-0.295325164397788,0.15633992170113,0.161926381343623,"Heart","Circulation system",1,"#00008B"
"304","Heart_18",-0.253313293668786,6.31634644337606e-08,1.45689107225524e-06,2.15029457330749e-07,-0.238503455348158,0.131176631819762,-0.0206251075252739,"Heart","Circulation system",1,"#00008B"
"305","Heart_19",-0.130168380279671,1.83358577818196e-07,1.21257402601205e-06,2.47253169198445e-07,-0.0937432383640851,0.123864990963325,0.0363003132699357,"Heart","Circulation system",1,"#00008B"
"306","Heart_2",-0.272753389038827,7.31551669252515e-08,6.53804007518836e-07,1.60766982553878e-07,-0.262674729817458,0.0311453388789875,-0.0750050253009197,"Heart","Circulation system",1,"#00008B"
"307","Heart_20",-0.323015624685524,4.32383240078831e-08,3.07343977963291e-07,2.65738573698532e-07,-0.359739692200406,-0.0888890663180298,-0.0937235253384645,"Heart","Circulation system",1,"#00008B"
"308","Heart_21",-0.288242610856577,4.48433457686868e-08,4.71448097858251e-07,1.64854298011708e-07,-0.294845825519118,-0.019458581497909,-0.107055855070672,"Heart","Circulation system",1,"#00008B"
"309","Heart_22",-0.311851027654837,3.97754930106999e-08,1.44725777168424e-06,3.40114165623341e-07,-0.299397514672894,0.157873343513399,0.0621830776561872,"Heart","Circulation system",1,"#00008B"
"310","Heart_3",-0.281740673719649,5.65257724309157e-08,5.60182555216645e-07,1.16844096932958e-06,-0.28291670585592,-0.00626138088462869,0.0488373061186765,"Heart","Circulation system",1,"#00008B"
"311","Heart_4",-0.272835175937001,6.22956491807273e-08,2.62553205749184e-07,2.30403915216485e-07,-0.301436197932206,-0.109825229990898,-0.059120612621404,"Heart","Circulation system",1,"#00008B"
"312","Heart_5",-0.292832616926012,5.90718483042166e-08,2.50952033183988e-07,4.07806660105076e-07,-0.293015615323872,-0.112924413042624,-0.0528839518350582,"Heart","Circulation system",1,"#00008B"
"313","Heart_6",-0.215677275116515,9.21200714833718e-08,3.79988543136598e-07,1.91325908898583e-07,-0.255654477788369,-0.0885072065529962,-0.0781663806377702,"Heart","Circulation system",1,"#00008B"
"314","Heart_7",-0.249737723065042,6.35224702321742e-08,7.29453471317782e-07,1.881363604303e-07,-0.267183219855045,0.00848072092203757,-0.0785870926697496,"Heart","Circulation system",1,"#00008B"
"315","Heart_8",-0.290793946358115,3.78951977905355e-08,3.59580517177618e-07,1.22114741369616e-07,-0.383485099003166,-0.0733247000201425,-0.0524762499148922,"Heart","Circulation system",1,"#00008B"
"316","Heart_9",-0.260379479594061,6.49263418455408e-08,3.80394695220891e-07,1.77615548833871e-07,-0.255820899277081,-0.051334159082818,-0.0613310065574688,"Heart","Circulation system",1,"#00008B"
"317","Hypothalamus_0",-0.268709717601457,4.36286548805294e-08,6.757622927041e-07,9.14483937616599e-08,-0.331794546245619,0.0461052849512111,-0.151775051562971,"Hypothalamus","Nervous system",6,"#FFCC33"
"318","Hypothalamus_1",-0.275471262878871,4.62244448529025e-08,7.33817700183049e-07,9.32369514924271e-08,-0.331665348546664,0.0557835630620464,-0.155453716585359,"Hypothalamus","Nervous system",6,"#FFCC33"
"319","Hypothalamus_10",-0.295701420832617,3.99648132509474e-08,1.47658637483382e-07,2.3813407207032e-08,-0.341730738182136,-0.162869599271072,-0.199827547073282,"Hypothalamus","Nervous system",6,"#FFCC33"
"320","Hypothalamus_11",-0.000301150333436575,1.32637068032899e-07,5.70156403205949e-07,4.0371682387052e-07,-0.161290432811965,-0.000204860033942666,-0.0467436447234583,"Hypothalamus","Nervous system",6,"#FFCC33"
"321","Hypothalamus_12",-0.248249390507417,7.79572887994471e-08,2.25389377034274e-07,3.63973284124755e-07,-0.288944947327883,-0.116672962714904,-0.0443533293407915,"Hypothalamus","Nervous system",6,"#FFCC33"
"322","Hypothalamus_13",-0.111428106523449,1.04244568978933e-07,4.33976814974172e-07,6.79801133403484e-07,-0.225721064358484,-0.0257703669101268,0.0235903842849946,"Hypothalamus","Nervous system",6,"#FFCC33"
"323","Hypothalamus_2",-0.209398674209954,6.51308425186668e-08,4.48740405745815e-07,7.01856092231454e-07,-0.275708669663236,-0.0275526992396374,0.0530803696266689,"Hypothalamus","Nervous system",6,"#FFCC33"
"324","Hypothalamus_3",-0.205469064832861,7.11230689902053e-08,6.25478119466982e-07,1.27223066239904e-07,-0.264764544237402,0.0303166976898933,-0.12488981557513,"Hypothalamus","Nervous system",6,"#FFCC33"
"325","Hypothalamus_4",-0.280996587298721,4.04917982003094e-08,1.41402424050151e-07,9.35166585294074e-08,-0.382840885863623,-0.198565639839256,-0.109020745589818,"Hypothalamus","Nervous system",6,"#FFCC33"
"326","Hypothalamus_5",-0.310261210546697,3.48988374936882e-08,7.15500224143695e-07,8.15446086088733e-08,-0.371468542227355,0.0441676474585419,-0.160589551809284,"Hypothalamus","Nervous system",6,"#FFCC33"
