"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"liver","GO:0046503","glycerolipid catabolic process","6/167","19/4524",4.20742795324468e-05,0.00127707813169074,0.00115237500391242,"APOA2/APOC3/APOC2/GPLD1/LDLR/SCARB1",6
"liver","GO:0010876","lipid localization","13/167","97/4524",4.62865563990587e-05,0.00137791517895659,0.00124336559395852,"C3/APOA2/APOC3/APOC2/LIPC/APOC4/SLC22A9/LBP/SCP2/PCTP/MTTP/LDLR/SCARB1",13
"liver","GO:0030193","regulation of blood coagulation","6/167","20/4524",5.82819181028312e-05,0.00170227187213552,0.00153604975814214,"F2/PLG/SERPINC1/SERPING1/SERPINF2/PROS1",6
"liver","GO:0045087","innate immune response","18/167","175/4524",6.29869622805145e-05,0.00180562625204141,0.00162931187029713,"FGB/C3/FGA/CFH/C4BPA/C9/CFB/C1S/C4A/C6/LBP/C5/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB",18
"liver","GO:0008652","cellular amino acid biosynthetic process","7/167","29/4524",6.46599291385902e-05,0.0018198830964825,0.00164217657352936,"BHMT/PAH/ALDH1A1/SHMT1/OTC/ASS1/DPYD",7
"liver","GO:0050776","regulation of immune response","17/167","161/4524",7.31280807592998e-05,0.00202146908956065,0.0018240782550299,"C3/CFH/C4BPA/C9/CFB/FGL1/C1S/C4A/C6/SERPING1/ESR1/C5/C2/ARG1/PCK1/GPLD1/C4BPB",17
"liver","GO:0046470","phosphatidylcholine metabolic process","6/167","21/4524",7.91196251221264e-05,0.0021116755118802,0.00190547627109005,"APOA2/PEMT/CHPT1/GPLD1/LDLR/SCARB1",6
"liver","GO:1900046","regulation of hemostasis","6/167","21/4524",7.91196251221264e-05,0.0021116755118802,0.00190547627109005,"F2/PLG/SERPINC1/SERPING1/SERPINF2/PROS1",6
"liver","GO:0015748","organophosphate ester transport","8/167","41/4524",9.82999190778745e-05,0.00254427878753089,0.00229583704002005,"APOA2/APOC3/GJB1/PCTP/MTTP/G6PC1/LDLR/SCARB1",8
"liver","GO:0030301","cholesterol transport","5/167","14/4524",9.86154568810422e-05,0.00254427878753089,0.00229583704002005,"APOA2/LIPC/SCP2/LDLR/SCARB1",5
"liver","GO:0002443","leukocyte mediated immunity","11/167","77/4524",0.000100421714930528,0.00254840679856489,0.00229956196225731,"C3/C4BPA/C9/CCL3/C1S/C4A/C6/C5/C2/ARG1/C4BPB",11
"liver","GO:0002684","positive regulation of immune system process","17/167","166/4524",0.000107548893609263,0.00268525302108288,0.00242304553174009,"C3/CFH/C4BPA/C9/CFB/CCL3/C1S/C4A/C6/SERPING1/C5/RARRES2/C2/ARG1/PCK1/GPLD1/C4BPB",17
"liver","GO:0006955","immune response","26/167","328/4524",0.000135619736649809,0.00333237067196673,0.00300697394376435,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/CFB/FGL1/CCL3/C1S/C4A/C6/LBP/SERPING1/ESR1/C5/RARRES2/C2/ARG1/PCK1/FBXO9/NR1H4/GPLD1/STAT3/C4BPB",26
"liver","GO:0044248","cellular catabolic process","34/167","486/4524",0.000141356953865759,0.00341828501290416,0.0030844989882523,"APOA2/GK5/BHMT/APOC3/APOC2/TDO2/CROT/PAH/CAT/TAT/XDH/HSD17B6/SCP2/MAT1A/HPD/CLU/NT5E/ALAD/GLUD1/TDH/FBXO9/ACAD8/PARN/FAH/DPYD/GPLD1/ALDH2/GK/G6PC1/ABAT/LDLR/EFNA1/SCARB1/TMBIM6",34
"liver","GO:0050819","negative regulation of coagulation","5/167","15/4524",0.00014353263943073,0.00341828501290416,0.0030844989882523,"PLG/SERPING1/PROC/SERPINF2/PROS1",5
"liver","GO:0090207","regulation of triglyceride metabolic process","5/167","16/4524",0.000202582718830565,0.00475148558711689,0.00428751623426093,"C3/APOC2/GPLD1/LDLR/SCARB1",5
"liver","GO:0005975","carbohydrate metabolic process","16/167","160/4524",0.000228672549432931,0.00528335979883848,0.00476745440844462,"GK5/PFKFB1/SLC39A14/RGN/CHIA/IGF1/MST1/IGF2/UGP2/GULO/PCK1/UGDH/GPLD1/GK/G6PC1/PC",16
"liver","GO:0019216","regulation of lipid metabolic process","11/167","85/4524",0.000248156482787284,0.00564920934345171,0.00509757976251899,"C3/APOA2/APOC3/APOC2/ELOVL5/INSIG1/RARRES2/PCK1/GPLD1/LDLR/SCARB1",11
"liver","GO:0042060","wound healing","11/167","86/4524",0.00027558582593036,0.00618270809478547,0.00557898384453986,"F2/KNG1/PLG/SERPINC1/CPB2/SERPING1/PROC/SERPINF2/PROS1/F11/F9",11
"liver","GO:0006022","aminoglycan metabolic process","6/167","26/4524",0.00028784307908224,0.00627578994956772,0.00566297651507981,"ITIH4/ITIH1/CHIA/GLCE/ITIH3/UGDH",6
"liver","GO:0015914","phospholipid transport","6/167","26/4524",0.00028784307908224,0.00627578994956772,0.00566297651507981,"APOA2/APOC3/PCTP/MTTP/LDLR/SCARB1",6
"liver","GO:0019318","hexose metabolic process","9/167","60/4524",0.000299785408374081,0.00644538628004274,0.00581601223556148,"PFKFB1/SLC39A14/IGF1/MST1/IGF2/PCK1/GPLD1/G6PC1/PC",9
"liver","GO:0045861","negative regulation of proteolysis","11/167","89/4524",0.000373717598151513,0.00781776813430462,0.00705438481859257,"C3/FABP1/ITIH4/ITIH1/ITIH2/ITIH3/SERPINA3-3/SERPINF2/SERPINA3-7/ALAD/EFNA1",11
"liver","GO:0051346","negative regulation of hydrolase activity","11/167","89/4524",0.000373717598151513,0.00781776813430462,0.00705438481859257,"C3/FABP1/ITIH4/SLC39A14/ITIH1/ITIH2/ITIH3/SERPINA3-3/APCS/SERPINA3-7/TMBIM6",11
"liver","GO:0016042","lipid catabolic process","11/167","90/4524",0.000412345030166498,0.00851080142263651,0.00767974533376762,"APOA2/APOC3/APOC2/CROT/PLCB1/HSD17B6/SCP2/RARRES2/GPLD1/LDLR/SCARB1",11
"liver","GO:0008202","steroid metabolic process","10/167","77/4524",0.000462961490568677,0.00942979457105673,0.0085090013571279,"APOA2/LIPC/ESR1/HSD17B6/SCP2/INSIG1/TM7SF2/G6PC1/LDLR/SCARB1",10
"liver","GO:0006006","glucose metabolic process","8/167","51/4524",0.000478138418501903,0.00961244508884346,0.0086738165598363,"SLC39A14/IGF1/MST1/IGF2/PCK1/GPLD1/G6PC1/PC",8
"liver","GO:0042632","cholesterol homeostasis","5/167","19/4524",0.000492786697801465,0.0096561241543882,0.00871323048610985,"LIPC/INSIG1/G6PC1/LDLR/SCARB1",5
"liver","GO:0055092","sterol homeostasis","5/167","19/4524",0.000492786697801465,0.0096561241543882,0.00871323048610985,"LIPC/INSIG1/G6PC1/LDLR/SCARB1",5
