"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19","negative_regulation_of_hydrogen_peroxide_intrinsic_apoptotic_signaling","negative_regulation_of_hydrogen_peroxide_programmed_cell_death","negative_regulation_of_intrinsic_apoptotic_signaling_pathway_response_hydrogen_peroxide","oxidative_stressinduced_premature_senescence","positive_regulation_hydrogen_peroxide_programmed_cell_death","regulation_of_cellular_response_oxidative_stress","regulation_of_removal_superoxide_radicals","cellular_response_to_hydroperoxide","cellular_response_to_lipid_hydroperoxide","cellular_response_to_oxidative_stress","cellular_response_to_reactive_oxygen_species","cellular_response_to_superoxide","cellular_response_to_hydrogen_peroxide","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16"
"Pancreas_19",-0.0440935163102809,-0.134122619897955,-0.108767220922152,-0.15683947608365,-0.0125918305026572,0.0260060896420161,-0.225389683309204,-0.0843425845859189,0.0320595646861944,-0.0109319685560548,0.0125053852291017,-0.0152433976363322,0.654637979157799,-0.162013762645467,0.0247927769559439,-0.0843425845859189,0.0717615252629476,-0.0119516284524543,0.0541696827030332,-0.201253052390372,0.385907986198304,0.148542554379107,-0.0588118437900641,0.125882781034579,0.0306865520805682,0.188787077975917,0.554094062957311,1.00086139761077,0.145512935604154,0.0641824584091783,-0.122372610371987,0.151449339087402,0.494655523279198,0.0395767028640623,-0.0445772546225681,-0.066347946011351,0.0489227520192995,0.272575093439946,0.269246229000789,0.656824164640556,-0.0152433976363322,0.471091363686285,0.195500987282701,-0.0336633561375414,0.605182252538581,2.17481628392241,0.481076736819282,0.423705248205284
"Pancreas_2",-0.0683037096521519,-0.0191359662647299,0.0328407442551294,-0.0478845948343142,-0.0769719983178501,-0.0409789536800576,0.210599067184362,0.110650749906599,-0.217536588011481,-0.0391558763182995,-0.167773866589817,-0.213804126484032,-0.327954251254506,0.0744659388066962,-0.116931106710059,0.110650749906599,-0.169342017677205,-0.169039808031385,-0.0851582126750637,-0.067112025752604,0.00422208943607358,-0.136321866614836,0.0636376194891035,-0.187269729352746,-0.126013225966406,-0.105870333372903,-0.0786880557582686,-0.269901670780772,-0.132105422433133,-0.131108711761734,-0.212991857910257,-0.129430168297607,-0.0870299240645943,-0.107821873741913,0.0497534079559145,-0.0584273309132338,0.106574214347701,-0.0692081094695825,-0.112400155874026,-0.108192686808224,-0.213804126484032,-0.110380832307541,-0.0758506705279317,-0.196853646652221,-0.00323939373955066,-0.0551347082613807,-0.00320187020855276,-0.0468043123345202
"Pancreas_20",0.0441365107468572,-0.120369054281728,-0.00981236824267564,0.124127839669143,0.107231134537337,-0.246982077774396,0.138666032197433,0.0694766474557773,-0.156858113156325,0.0554105241965785,0.0576348246570942,0.120650607889722,0.57498512125234,0.0280911374207789,-0.031007521703943,0.0694766474557773,0.0740734673048358,0.0258271961531852,-0.0264361097044333,0.0911224248828001,0.0587097794934937,-0.249441905497087,0.0185400610277662,-0.148748289284814,-0.0789314466764046,-0.0782519786928416,-0.0698519039495277,-0.122341394352616,-0.0261795750477059,-0.0845902975396352,-0.14167378225839,-0.000553262257954892,0.141933577660286,0.0157157932879359,0.0298792373701378,-0.226445490634214,-0.0362874338753033,-0.0075483514538302,-0.0653430468448189,0.265790193868906,0.120650607889722,-0.0313314299547403,-0.0462995359310044,-0.154757594834579,0.062654049465698,0.0820268560785322,0.112758164371109,0.0325538003504854
"Pancreas_3",-0.0636117877754459,-0.0146584406028894,0.0344270880939066,-0.00837907702533673,-0.0858608872941884,-0.078732650528818,0.236472329139884,0.129639905506578,-0.245488785985475,-0.0297717136459141,-0.111887369291976,-0.222782053908989,-0.437663334739935,0.0450942973324848,-0.164344643458562,0.129639905506578,-0.102636286024803,-0.0809630738431716,-0.0976719291068887,-0.102263894883464,0.010807449365257,-0.188603322029275,0.0734472269898801,-0.21686688902479,-0.14117657437317,-0.120295235413876,-0.0919053376720196,-0.280445240396083,-0.148900853892124,-0.158050130304918,-0.243860104779377,-0.134802039696984,-0.118993546110168,-0.121420623877782,0.0563509236436828,-0.0159743053064794,0.0570009991052945,-0.0828802602242098,-0.124961552222786,-0.132024919286609,-0.222782053908989,-0.161348665865839,-0.0769823690603266,-0.253242862436092,0.00676917853781693,-0.0503226991608257,-0.0337769501268652,-0.0818126059203153
"Pancreas_4",0.156548619020705,-0.146187874701676,-0.0126884677584243,-0.10766577740617,-0.0568496456025494,0.184967960065637,0.0371778904942611,0.0488098877683849,-0.0884764933544706,-0.0898148914950777,-0.457923952211746,0.624188186106435,0.0319852630664289,-0.0419565490645355,0.326643289449424,0.0488098877683849,-0.254812866893459,-0.245358991915805,-0.0841156214666655,-0.282412357013459,0.109478020281674,-0.288117412333151,-0.0561459141241624,0.0108787999357814,-0.112019241325491,-0.131498857443509,-0.0810985239588603,-0.249776419401092,-0.0726525317466741,-0.0304008662061685,-0.291792286839595,-0.0165998165144376,0.660385263871169,0.157610357212811,0.0444568077831254,-0.0152249300107669,0.524685067735695,0.189204668097986,0.263941677405519,0.290942443532528,0.624188186106435,0.917510763661497,0.101562206753837,-0.273896722877877,0.586449199398615,1.89577481156393,0.345416997078132,0.0963745209840929
"Pancreas_5",-0.021034994464849,0.101823841346587,0.0128407364618053,-0.0459339623094062,-0.10066382526632,0.0357420540243355,0.167607409771402,0.0871573508998549,-0.258105546695004,0.00672866344581903,-0.0244171591205569,-0.211752413031498,-0.37652391998348,-0.0363616433130119,-0.132383585488966,0.0871573508998549,-0.0271745981533873,0.0166706023245293,-0.105235572325977,-0.072572679936299,-0.00818898045084653,-0.100501306434108,0.0126405734710297,-0.172664656064005,-0.0886985701102683,-0.0961250446628976,-0.100955973277996,-0.337522329469752,-0.109039799955039,-0.110471985519542,-0.18933133044379,-0.133678609960823,-0.125523011206744,-0.13178140227094,0.0407261026815301,0.17380943905804,0.0279673341766137,-0.07541275982496,-0.136026839722045,-0.131398791422848,-0.211752413031498,-0.142339869659053,-0.0475132349516912,-0.182000222430795,-0.000407834030660731,-0.0565810147051929,-0.0546389282166643,-0.00752371838708051
"Pancreas_6",-0.0172741637275172,0.323474908666666,-0.0970295354599321,-0.0173629435263472,0.112981092850311,-0.236618435718548,-0.162333299380467,-0.0828654528936936,-0.185641381030865,0.245459426432119,-0.0255996645258349,-0.203804669550051,0.104066658278979,-0.106092119546393,0.187078017909792,-0.0828654528936936,-0.135106707300604,-0.183352984587718,-0.114689270044534,-0.00784978944696731,0.560404180407704,0.000471209313711417,0.129838452386349,0.293798751379124,0.0266111637208048,0.592632480365614,0.261790426717435,0.0564832041220905,0.048535174202067,0.208021817371347,0.0480893460699526,0.0163566406553585,-0.142304677575981,-0.106824950892041,-0.0208640822562529,0.0691779173277214,0.943591954913825,-0.0633168134263898,0.232996937051002,0.0213432231363444,-0.203804669550051,-0.0333123659167724,0.0682360205498426,-0.0220186898398644,-0.173660802654549,-0.225359839506366,0.241809146439253,0.307324845535447
"Pancreas_7",-0.0532826896949091,-0.032031632287326,-0.090579481096812,-0.112696561536417,-0.0650410496339785,-0.114127726906794,-0.20293161104188,-0.0777227144460419,0.0373688477050503,-0.0634000564795049,-0.129222068974723,0.187387561595541,0.308992568258538,-0.122493254669499,-0.249387978098017,-0.0777227144460419,-0.0440680382244719,-0.0904975275200584,0.0659348005739029,-0.104264558221432,0.302378513306426,0.439571847177529,-0.129988149494945,0.157058789002907,0.576491231041453,0.236822459384235,0.494187322032003,-0.260977428463302,0.07509836991534,0.154147817854461,0.0247858203190704,0.182607857620141,0.454742246572633,-0.137916104436769,-0.0767657212631938,0.0770776821158475,-0.172606273787805,0.193818898410295,0.310844637885574,0.684810823445855,0.187387561595541,0.756880189985475,0.144578713071451,0.0161294729833453,0.616400788730238,1.92253719366017,0.216476571670957,0.209933071275699
"Pancreas_8",0.129231350771007,0.152845949726853,-0.146838100530851,-0.152328818251602,0.11621428858902,-0.158844899321023,-0.1505818145253,-0.219419888449944,-0.244267434636518,-0.10151218770585,-0.0567200801663211,-0.229739797567559,-0.435120834200193,-0.362060613197126,0.465627965648063,-0.219419888449944,0.00565493309662805,-0.00242023014411889,-0.0823361757491272,-0.0190464481594011,0.364434815888159,0.0284880950725964,-0.300158767045594,0.274997484462292,0.374351171608279,-0.22481890498646,0.0268039914527878,0.522710761872676,0.0526635079744044,0.0347359206083988,-0.191656073122744,-0.131022993577618,-0.065816337992406,-0.22852576198967,-0.0478326711121011,0.0119508664740697,-0.14720805473907,-0.0312520267432415,-0.243519884354867,0.155389048355082,-0.229739797567559,0.154800675406173,0.0316661327994932,0.217801303123119,-0.0926007799506046,-0.231864886591094,-0.0463016952840146,0.184317440021403
"Pancreas_9",-0.126359278647733,-0.157029273233732,-0.0274952217550858,-0.116688171415633,-0.173027823268953,-0.217349932494177,-0.160117935691449,-0.0254986247966069,0.154128699969806,-0.180145777976851,-0.135476606822219,-0.0903380936616931,-0.272596097169019,-0.101425972470065,-0.168463074284365,-0.0254986247966069,-0.135222847528911,-0.151061827852288,0.0470152997454296,-0.0939894104009209,-0.235024257712059,0.191621619693524,-0.162687879377136,0.0577139518005705,-0.0513779638693868,-0.211414891843149,-0.145599373442594,-0.287404138588509,-0.0365083552057295,-0.0392447251176783,0.080748148247887,0.0208415707378432,-0.0664040858599324,-0.133262177468276,-0.0226375198466934,0.326643974636715,-0.177233353189716,0.0754481402980137,-0.0957398894925662,-0.00280660620060865,-0.0903380936616931,-0.107320204671892,0.0427157879517884,-0.196707317465852,-0.0606300505812438,-0.0945278222835721,-0.0847943911916391,0.00307627045068758
"Pbmc_0",0.280235957556894,-0.131229154924719,-0.0863643972040422,-0.0177633840097159,0.105126723517236,0.454658489505479,-0.216426267273729,-0.0353562288955534,0.0013789489555234,-0.0319754991417745,-0.0749026908648182,0.511057840058212,0.932983794256206,0.130693160395121,-0.0321912069046501,-0.0353562288955534,0.106874003134451,0.0399149777617563,0.0624330629764053,-0.0531454500822273,0.778091169881221,-0.294785275780099,-0.215487764677257,0.150162180710021,0.0826038770280632,0.0465670718778514,0.255715411967528,1.54693648438222,0.107436613041045,0.149181739401044,-0.10591101538227,0.111079876644992,0.669518557987021,-0.0497853185711091,-0.0352765448785388,0.101771303101957,0.0229898184422993,0.266536994133027,0.206205491185263,0.582434906863032,0.511057840058212,0.641488161558937,0.109381026561514,-0.130181071542741,0.308113345785515,2.88765898808319,0.509887443842215,0.432863245600197
"Pbmc_1",-0.0652893245631494,0.175170058246096,-0.10326544874265,-0.0269880389097244,-0.0650184514512518,-0.145297887198889,-0.231203353734861,-0.0396412604977841,0.441863110522519,-0.063025337581465,0.0883042013735569,-0.0699471953425466,0.135650191637592,-0.126297410985337,-0.21999761405986,-0.0396412604977841,0.136701285674142,0.124087049935123,-0.00645987985800053,-0.0147837949444991,-0.254289038247428,-0.22089238510968,-0.149407671917865,0.0170418265077094,-0.0958154374363034,-0.271089187756797,0.00243692618240076,-0.331457138998153,0.00438426534102708,-0.027743579260518,0.396945689003004,-0.0381623541103635,0.28537079116754,0.122970502731459,-0.0268725135344764,-0.312413498719068,-0.161962507561023,0.320358276658633,-0.0111673297648483,0.47161195955863,-0.0699471953425467,-0.0510796247115044,0.0680251233977808,0.0265641758102872,0.0347302142468988,4.75384196751448,0.269145099072128,0.146408966291291
"Pbmc_10",-0.0768108297341912,-0.172071861918865,-0.0658045843796652,-0.149639626534715,-0.176639919562768,-0.230920977654744,-0.164290173197662,-0.0356099717444361,0.214423411560695,-0.191904264677956,-0.0965803058287159,-0.0948051985645448,-0.29122551365738,-0.108485473479296,-0.110539012244327,-0.0356099717444361,-0.137357774210274,-0.139043001895338,-0.030927007387462,-0.118866902597181,-0.195662665194709,-0.327092405523087,-0.102075958710266,0.218611306267047,-0.039694633286288,-0.321360229786363,-0.100113830000411,-0.278088143828876,-0.0587609373096645,-0.0895022678979629,0.0317577398836453,-0.0516324096179034,-0.136402990889758,-0.101362519219549,-0.00755164558043929,0.288813630785837,-0.157746267079864,-0.064865270469464,-0.141747391463108,-0.0737626471462025,-0.0948051985645448,-0.153995975371649,-0.0336054423515076,-0.178765884617527,-0.0161259089559648,-0.0885760870993666,-0.0440530011780889,-0.0126763443117126
"Pbmc_11",-0.211005150412001,-0.154152152209383,-0.0515971121511095,-0.156399495089863,-0.228510644246317,-0.17248427574738,-0.113995529757076,-0.0486418366537201,0.0934298792074553,-0.294314979891127,-0.459835090212815,-0.446521964151223,-0.531591164421436,-0.0924655081097782,-0.29856269177504,-0.0486418366537201,-0.404015432694897,-0.455422183714852,-0.0320697908129125,-0.327291955862747,-0.14650128952749,-0.268849704918939,-0.0714944291993631,0.365687989279845,0.0380876474891298,-0.311661189222173,-0.0625740565610934,-0.308914760403711,-0.113018362303599,-0.154057824503438,-0.16800463567714,-0.0886252883609615,-0.209953459538624,-0.22839840177929,0.000357367240302179,0.464821393607806,-0.130498319278432,-0.027167639704326,-0.161515506988426,-0.152548981383206,-0.446521964151223,-0.0784757465910163,-0.0436887628794551,-0.266178062902927,0.0549656764301527,-0.046569007992367,-0.111152611877433,-0.0375222916346091
"Pbmc_12",0.212907695631715,-0.149560671326493,-0.0525601527146397,0.0956925937419079,0.294739473681204,-0.00598183234146883,-0.0700271133418383,0.0390503506911819,-0.158614975682099,0.0440740478102565,-0.066946839089667,0.383603200150837,1.1819162743337,0.019821489399044,0.0410212543460894,0.0390503506911819,0.0377753306702582,-0.0120927500999406,-0.0441690746594453,0.0497329130793389,0.425848415094328,-0.176326989721054,-0.0648217518176672,-0.116971771060895,-0.10328176882203,-0.0912937376442359,-0.03336582149073,1.39451368477569,0.0198518410871879,0.0290465113251063,-0.169051062256507,0.0770681856447367,0.625139203892506,0.0579684929544553,-0.0149005247532339,-0.0860526670195619,0.161041439960773,0.150803189116016,0.287016057369545,0.531363580023645,0.383603200150837,0.418920479658482,0.0690758775788099,-0.155836708613197,0.158422112426225,0.984827552837041,0.501311300020393,0.32677021041866
"Pbmc_13",-0.0434419643555041,-0.0807607365724092,-0.0317008860737871,-0.116018409808691,-0.0643118285220721,-0.234755239630191,-0.150623152561332,-0.0741724443915687,0.212671231185481,-0.179208926169334,-0.0800332578481888,0.227178925386959,-0.308283611882417,-0.162474145959832,-0.172159675552679,-0.0741724443915687,-0.0278728885815149,-0.0803078805076666,0.0521138929268198,-0.129395595269628,-0.172841534131372,-0.38317076185439,-0.130401785452006,0.288435552828857,0.0771281504977327,-0.298000700324807,-0.0934757668490512,0.0567281194323987,-0.0437179365709856,-0.0634147503440471,0.22862049033699,-0.0627215739964623,-0.133775114526498,-0.123740009929047,-0.0119698908976789,0.0136268616751089,-0.203456422305699,0.0439214763130582,-0.227649626701777,0.085442179366478,0.227178925386959,-0.0961218024060703,0.00322736504786935,-0.0123298330276114,-0.0400623623375052,1.9312943568442,-0.0543464753468783,0.0876773124054216
"Pbmc_14",-0.0640459432744834,-0.113611131539392,-0.0678205188421779,-0.128976876232528,-0.069079392391394,-0.241347479007691,-0.196818454146996,-0.0419929029239544,0.0362639585415316,-0.136644962904672,0.005776911422279,-0.0301036533616722,-0.0703331331891099,-0.120753566088995,-0.152584082794494,-0.0419929029239544,0.00931851708664909,-0.0113286976951326,-0.0209461102128788,-0.0334186577616735,-0.226653474158855,-0.311571299811161,-0.124336400404328,-0.113633546302407,-0.0758064606632271,-0.303712911207662,-0.0845221739719431,-0.139861776770507,-0.0612846790981902,-0.104887498691497,0.192182860728739,-0.0458785222266748,-0.0424323356418289,-0.0740637272151083,-0.0228090339711818,0.107904697876775,-0.155075846209385,-0.00564073856523606,-0.124196951779875,0.0430634214118168,-0.0301036533616722,-0.149683834167378,0.000214458994457442,-0.208839124873604,-0.0999399087365624,-0.0597116135795465,-0.0706968561691796,0.00471310495011836
"Pbmc_15",0.0428464244011425,-0.154700056466157,-0.177684636921195,0.160822543639636,0.0188926496690177,-0.0659349674345231,-0.148191826662628,-0.0603415633240915,0.556665518156261,0.0405933862989959,0.457545636253952,0.286419946178321,0.315392328652429,-0.180151622505031,-0.00875939723322864,-0.0603415633240915,0.424183944829112,0.46754152303145,0.0777867789757334,0.162654689485982,-0.184344038572663,-0.195115590412842,-0.0764148417182087,-0.166105894708903,-0.192546343709234,-0.12808388975188,-0.150547360351509,0.157286322443203,-0.013802377162386,-0.0302708783584924,0.552903635381871,0.0214582086641498,-0.0358752422955426,0.11367912472077,-0.058134671697133,-0.0375273152101946,-0.159667795599153,-0.0612759515977608,-0.109126308435698,0.078129358541149,0.286419946178321,-0.220662310538841,0.0396527714927557,-0.129320487521867,-0.130024370561984,0.0942054613822011,-0.0581133968421261,-0.0231376891186896
"Pbmc_16",-0.0960728077447958,-0.14794187612279,-0.021371149010357,-0.112498187540512,-0.128141215359742,-0.212114340772759,-0.191232453998378,-0.0538734363389583,0.266947575626638,-0.163298660859601,-0.0694692670995655,-0.0154972033932442,-0.121148711985489,-0.112033049581833,-0.169372396839043,-0.0538734363389583,-0.0382565997668072,-0.0563377936228101,0.0135566826398252,-0.135500608989143,-0.258627681635709,-0.248566206506512,-0.118420834159016,-0.0518970094161118,-0.0885924602001246,-0.299068597618255,-0.119885110495998,-0.116639442703163,-0.0702974070131006,-0.0279841471254513,0.0759729249347711,0.00210501637801232,-0.100147936659521,-0.101270863861858,-0.0272735135622758,0.259558993396966,-0.173448964583674,-0.020198172868676,-0.0860296603493992,0.0317039050636516,-0.0154972033932441,-0.11743596280379,0.0389451422479293,-0.238677731524652,-0.071358639152403,-0.100068748542904,-0.0850048306877485,0.00206489568957554
