"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19"
"Colon_16",-0.064784477442491,0.0982913464195681,0.0153858589716528,0.17762317041342,0.451263090063726,-0.0882125162469814,0.0673009076907702,0.0981896425629484,-0.267156962885243,0.200508510951577,0.0281630039845874,-0.110140960637423,0.199945533017962,-0.0945735841131305,-0.0849920037912721,0.0981896425629484,0.047665631483633,-0.0209605830536391,-0.0764736884065713
"Colon_17",0.16364102887016,0.0329185813963983,0.134140024507491,0.113734023914308,0.0220816752621286,0.237750917958492,-0.0617607901708577,-0.0348833922683835,0.0159476258819145,0.156444919276709,0.671142382622616,0.518043932933772,0.104866384613642,-0.120379276073314,0.0885959919143771,-0.0348833922683835,0.584695212704318,0.641932287328692,-0.041803492460035
"Colon_18",0.365070316314514,-0.162428835441489,0.00912580555117571,-0.100782937513685,0.0837383554894637,0.399713116493335,0.0990995877390262,0.0914620430893373,-0.115208789815206,-0.000326373517321815,-0.341821179016506,1.25087694364168,0.459549696271801,-0.00232956803317072,0.380126145703569,0.0914620430893373,-0.0284706521250061,-0.0232506019126183,-0.0925066693978755
"Colon_2",-0.100720977489163,-0.155604805685652,-0.0559516072014686,-0.0749141228952277,-0.156423693501035,-0.220428287605994,-0.0865527192901819,-0.0251795826958447,0.132683929912999,-0.158344660309812,-0.067566870685713,0.0415157100827185,-0.270185024405932,-0.0607566024631045,-0.0725695911430148,-0.0251795826958447,-0.0918848305917051,-0.0811442814544141,0.00369487203222708
"Colon_3",-0.172664811793688,-0.176040224917246,-0.0490270364337284,-0.0659412348858401,-0.166338734226426,-0.104660685155329,-0.0340384307393002,0.0281023265378923,0.189973975885366,-0.207324732807242,-0.304981926348011,-0.337110494872354,-0.372046161279795,0.0659935216721527,-0.230587025242444,0.0281023265378923,-0.3305410159456,-0.335519896348048,-0.0256729106784892
"Colon_4",-0.0716230502751403,-0.11737818645771,-0.106369049663145,-0.0871776527251798,0.0111927739358735,-0.211406909107442,-0.12636370656388,-0.0190975832544305,0.198166664722858,-0.0854268790574,0.161017701461776,0.0807665771066605,0.318254687175593,-0.0106974490705008,-0.131227335115571,-0.0190975832544305,-0.00115955169043862,-0.00229257774551595,0.0316928904183643
"Colon_5",-0.0688910914776393,0.0750600947775211,-0.0901085830449522,-0.0227709363054447,-0.0405242999221191,-0.20640499024335,-0.083140870144674,0.01761741055991,-0.018480747835201,-0.0486170341933342,0.0424460457674949,0.0881127676818294,0.168130236365679,-0.0840088606549333,-0.140313210622401,0.01761741055991,0.0396757155155356,0.0329721335873387,-0.0618337700463719
"Colon_6",0.0573807359428015,-0.0469511701484893,-0.0279694907897472,0.0230442496900983,-0.0595168092555201,-0.149082228669252,0.0703824093381119,0.0418342365762565,-0.12313837901704,0.0214514820687417,0.304404898570154,0.231187719540052,-0.246503428567068,-0.00834236451534119,-0.13889570057243,0.0418342365762565,0.262555121920426,0.249471337792387,-0.0306092086408186
"Colon_7",0.258079828756515,0.131015705841816,0.0488227863759737,0.0479278222997728,0.146276876582998,0.0279846499297851,0.0700890036595016,0.0661051076181984,-0.118458218739589,0.140421069364551,0.253090569126989,0.237798662921033,0.459454777176286,0.0787703439717441,-0.0365647873605563,0.0661051076181984,0.348311693270746,0.367694093233152,0.0495451618460179
"Colon_8",0.0316804019538818,-0.11468070063273,-0.175465017508111,0.352923480105201,-0.151683703730503,0.632532575472917,-0.0542747878450312,-0.0290644103760105,0.0386472923452424,-0.0346384947839582,0.367874755338894,0.291944009926053,-0.360645677595583,-0.233517497849889,-0.0939527775881227,-0.0290644103760105,0.446816979724038,0.443196020000061,-0.0214772181117447
