"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16"
"Duodenum_19",-0.192302226077858,-0.151995021070343,-0.0405649618481936,-0.0393259298664029,-0.0923551775328738,0.0461728654744117,-0.0707032267441541,0.0359728458592146,-0.486333173734765,0.403170470538081,-0.0437874318087993,0.209237764170114,0.186329402921398,-0.0738348532269562,-0.0133833550124629,-0.0346941797941498
"Duodenum_2",-0.0862281242424172,-0.0282139477665261,-0.0129352434463852,0.427043826405038,-0.122031820061474,0.0495708723597248,-0.0564565550497993,-0.0112811936478739,0.0860141915691222,-0.0944119023336523,0.00242449786524489,-0.0572609907215344,-0.0570408988836623,-0.168660947470553,-0.0496774429557136,-0.0587006420653569
"Duodenum_20",-0.0919871994626894,0.0176726347376582,-0.0489370232165979,-0.0608151818205084,-0.0896509801491155,-0.0715484373573689,0.130036945679388,-0.0985871331432714,0.0710056576624776,-0.0805263215776164,-0.0126839182593215,0.0526483544986155,-0.111567138810319,-0.18634989391219,-0.031582671701239,0.0373987784868855
"Duodenum_21",-0.0637042171175883,0.160545475922588,-0.057527942321859,-0.133336363708967,-0.100226326300973,-0.114011218459063,0.0365859215924167,-0.0972284739501899,0.336628227901485,-0.155610649477654,-0.0081116807391376,0.338542180638406,0.00823608623714627,-0.165950268347223,-0.0759327898994626,-6.02609704071368e-05
"Duodenum_22",-0.168682087244817,-0.111228935601692,-0.00846023687689464,-0.160311808490061,-0.0512703433741998,0.142131693120183,-0.151507867762097,-0.125295959290784,-0.450412545483416,-0.026753202721247,-0.114298764130818,0.00992568056760267,0.67098711286631,0.115418384511237,-0.0767680156478105,-0.102380300795541
"Duodenum_3",-0.0483781346104679,0.106883164080373,-0.0653917109278078,-0.392584429560365,-0.117292026065918,-0.0163246137614613,-0.0566517800442919,-0.0812732960785237,0.186608548676923,0.115518902383175,0.0540620171861612,0.388947436423449,0.101792589147762,-0.0189547543293215,-0.0659900272683054,0.00998496542165139
"Duodenum_4",-0.0129439658115691,-0.0101181066507718,-0.0185138504458469,0.279499240485568,-0.0819007743059447,-0.00294106093143924,-0.0504307478367284,-0.0360878926819724,0.211250115897199,-0.13054799095803,0.026372384527331,-0.092511901605978,-0.0372453069051263,-0.16555978069633,-0.0621884952292972,-0.0515880176521708
"Duodenum_5",0.385141240318797,0.0345022416792833,-0.0403685454898366,0.0243741039843288,0.0125512437697271,0.0376883774945315,0.13493246689526,0.410340294591225,0.308877761745764,0.890320002292265,0.0463183741372006,-0.0533080424519176,0.0644915547852168,0.109303602080834,0.465318059362828,0.127980234710491
"Duodenum_6",0.104772835006212,-0.00330944315554466,-0.0121766687485698,-0.171642022727698,-0.101450579660914,0.113835825107041,0.00347975477597526,0.145419799333292,0.0772267044081433,-0.0693656417080154,0.0215588540397097,-0.0119067081905561,0.0745930359660651,0.767253247233901,0.101122547692395,0.0133359661556556
"Duodenum_7",-0.0532878352278276,0.147271202801726,-0.0479822831102099,-0.156201051661013,-0.121215653953584,0.0172764697302138,0.212197186184807,-0.0149947753489757,0.0686973042694331,-0.129123886531736,0.0670085266627424,0.132461360973341,-0.0844188801002057,-0.518426742986022,-0.0130990409871978,0.000209491762939058
"Duodenum_8",-0.0418501051580494,-0.0911690205396109,0.0202778306352687,-0.0258478667716784,-0.0481157987134886,-0.00046550922543524,0.0194711670620264,0.0420086633862121,-0.312684023664245,-0.0927904182972951,-0.0816232919455373,-0.148819431300217,0.220631057845593,0.732381019222572,-0.0174473239020625,-0.0389876409230471
"Duodenum_9",-0.0950923540499017,-0.0387051130799239,0.0221076267045981,-0.125043643910076,-0.0342035030601078,0.0486764475690565,-0.0472363075579359,-0.0974168562817356,-0.0821825141043137,-0.0134567517475545,-0.0505992324925405,-0.135666999216207,0.0316206075336237,0.74370879512494,-0.0329173238292525,-0.0614622742996608
"Ileum_0",-0.00541895152752491,-0.0543900896498493,0.00491282162898999,0.42501620387188,-0.1372374858696,0.0454463348861405,-0.0771422363311173,-0.0181926165799391,0.0613346129836785,-0.0868713826578564,0.0184352095420921,-0.164443997923558,-0.020994493488452,-0.18458399709263,-0.0530724858742262,-0.0380369898040784
"Ileum_1",-0.0625503532940437,-0.0372060717968072,-0.0115202664012367,0.383333387489303,-0.13652793554643,0.059329135973477,-0.0717694892553843,0.0113388276143509,0.0769206090334684,-0.103452287154813,0.0252183601856398,-0.101667225061091,-0.047827002175934,-0.127596759121391,-0.0380398389851704,-0.0388724408189869
"Ileum_10",-0.0882820467854167,-0.018149979347602,-0.0136746281062678,0.149860155229653,-0.212256762962281,0.0341604279039723,0.216519069770418,-0.0418086678762985,-0.216382236507299,-0.0880809653161637,0.0211025339256523,0.0300735099393926,-0.0436409911432796,-0.58779890472068,-0.0860157655851268,-0.0470296783470626
"Ileum_11",-0.0757500318511605,0.0160626594367686,-0.0437419769453366,-0.330603741641755,-0.0707277268462399,-0.0160635721659215,-0.154998021510566,-0.108353758387389,0.177162109284978,-0.0592378752842422,0.0687759852789051,0.392940104079495,0.128012819600096,-0.120297584434841,-0.0384781679893941,-0.000979949616354354
"Ileum_12",-0.0427207224285399,-0.0229596547827765,-0.00504594491083263,0.215058077938957,-0.112296395985501,0.104796153493073,0.241544789955677,-0.0665731211486979,-0.256414228798886,-0.0706589208448837,-0.0283405246782503,-0.168250036960197,-0.0982633093221471,-0.591649728892016,-0.0388839746781481,-0.0865088749675119
"Ileum_13",-0.0879269507837233,-0.0252765826344815,-0.0313019868893983,-0.0587806301966882,-0.0498805869416204,0.00107150116651772,0.200320394438211,0.00830643476492742,-0.0271640217798063,-0.0900710721817425,0.0608682112248602,0.0178979840418217,-0.0450398700449765,-0.223839439768356,-0.0682610904277238,-0.0643324420305623
"Ileum_14",0.017059702648934,0.0796600890730608,-0.0480107587851452,-0.297869983464365,-0.197087841035528,0.0472833442210696,-0.0909199074242842,0.051709701287968,0.198672099226306,-0.221873442890116,0.0563049289760919,0.169003632752174,0.0369389900043329,0.341847716772324,-0.00346574861885302,-0.045863144396918
"Ileum_15",-0.143246330320168,-0.211862503261382,-0.0258546076860387,-0.0763227602210879,-0.170886454570098,0.238770555249391,-0.186772530374484,-0.0850951612257153,-0.4960460656866,0.0107848955319096,-0.104281022400874,0.229734604604775,0.961945737995268,0.0589314597640662,-0.120468775550926,-0.0845123575805989
"Ileum_16",0.0893752156226699,-0.0231668563650693,-0.000456098947217546,0.144935381200593,-0.105147581428261,0.164115203877441,0.0739745103779205,0.255576504917719,0.248040065215968,-0.021919803293698,0.0949008205434767,-0.0492774737607205,0.301503461755541,0.214981772351428,0.0901819584165473,-0.0206456060871253
"Ileum_17",0.403103640614957,0.0195000013623747,0.297956722964031,0.15296013858804,-0.0557341288141194,0.124188394829235,0.343628469200615,0.353047145773997,0.56163508061056,0.556680584889859,0.088481422388155,0.000558525951317451,0.597432283867773,0.687493905779008,0.294785520906094,0.218012912735231
"Ileum_18",0.305895901786025,0.00986356644497919,0.0749501776182858,-0.0627550700268663,0.0295531508203344,0.041649207285104,0.0546399046483198,0.32945223561006,0.105742051349743,0.724101658515945,-0.0039566446928331,-0.119377475274264,0.0234236121559371,0.0493549235657906,0.437198163648771,0.086343037246567
"Ileum_19",0.207173831734746,0.142570981713721,0.108147582149731,-0.234590675819053,-0.0567574084149724,0.0959700049424971,-0.0284345978860257,0.247678466843184,0.0587213374959465,-0.0960663717186969,0.0529586531765147,0.0652398463824466,0.0456036378785261,0.116221348632866,0.187744394720953,0.0394627892858372
"Ileum_2",-0.053271531591919,-0.0893527221295138,0.0162429757607854,-0.0343000186401444,-0.0972243314311685,0.0070579651494842,0.0853167693606376,0.0703734050357657,-0.263657870073699,-0.086968875674543,-0.0744733988403196,-0.118362304932358,0.353254597240593,1.02565562756424,-0.0391125540183295,-0.0287401566506912
"Ileum_20",-0.071447670889603,-0.0200778745518424,0.0185639443110225,-0.183435593444936,0.0119173473412215,-0.0388849248871532,-0.112725058128877,-0.0960660872522331,-0.188076175968756,-0.0885884306072445,-0.0412138092251012,0.123875770991421,0.0788871854607446,-0.0419777506456371,-0.010507415491068,-0.0485499480293961
"Ileum_21",0.232318462289999,0.257081509368948,-0.060272318348068,-0.336917364127413,0.0523642278118178,0.00469413421006255,-0.07129992205401,-0.0487390653361131,0.0146227055066985,0.0341048169966659,0.147252026433619,0.548587118685592,0.223224158946922,0.130502488068811,-0.0296088717497365,0.128778463412526
"Ileum_22",-0.00307660139892386,0.0113444403663602,0.291114174750918,-0.172395455259235,-0.025835735668846,-0.0136852930351574,-0.0191582996371029,0.0317003653654788,0.0785596551338288,-0.0803446926517399,-0.0329999959007175,-0.116395297657401,0.0234030097597007,-0.0984274426305198,0.0398817870873357,-0.0499319500815441
"Ileum_23",0.00505115690382978,-0.0709192863743269,-0.0543119249214557,-0.307288360280541,-0.142979212912839,0.0583995586093679,-0.0968173562446169,0.0352806883789415,-0.240696409698969,0.0458401279259852,-0.00819344818341382,0.561626772010153,0.238374528332699,-0.0709034838057899,-0.0550249954812673,-0.0204285126576334
"Ileum_24",-0.0704124033690741,0.0193203852747325,-0.0306056299258525,0.0323323653279328,-0.104188321990562,-0.0621246057197953,0.146211641973212,-0.120717762236937,0.0695199553017566,-0.0455460080330643,-0.0144070377744918,0.0381203989925374,-0.108972590030158,-0.225544911963773,-0.0223309199320689,0.130482980406309
"Ileum_25",0.090917802678387,0.103119830035591,-0.0466972713870021,-0.112445316053596,-0.0384066545855831,-0.0371259818071102,0.0294160544450641,-0.0148569249129301,-0.0473490463991253,-0.0582552203244074,0.00533560072337783,0.171437818338607,-0.105012269516026,-0.36788538135955,0.0520488912691261,0.142318993151486
"Ileum_26",0.791390892837907,0.221993268588587,0.959722738728869,-0.0210703337695636,0.515171589047108,0.231541281266603,0.343212284846795,0.281473636679136,0.421738221151346,0.939914308421584,0.0687999165252081,-0.22756057273582,0.457338954653493,0.569398077574314,0.48179424009676,0.199437367442809
"Ileum_27",-0.0396653105405619,0.0867906100538654,-0.00641107437831113,-0.0859267275423154,-0.0143088591298185,-0.0908458321035445,-0.10483741629328,-0.136589557426076,-0.20705070420868,0.0360015955988779,0.0902017775731007,0.124337157707808,0.00826608949839958,-0.273971357475802,-0.00246195786708296,0.0129089545879341
"Ileum_28",0.805927695982031,0.323609633586221,-0.0739710545514776,0.0941941447663235,0.259659713657548,0.0313727187827892,0.210246745857889,0.475139551825521,0.59039050570567,1.31372474511702,0.135940775509751,0.0634702014816145,0.125260530876063,0.118919728495862,0.663412850415526,0.281666546686563
"Ileum_3",0.461417067070964,-0.0777279277884344,-0.034156096229869,0.219241420026637,-0.0623247405820019,0.0920906457389845,0.379613054371185,0.487561712632155,-0.0321288448428169,1.13717816761571,0.104940045515371,-0.09289056649559,0.336877162838646,0.883887677144259,0.446394889777807,0.175371359430023
