"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.31537176869265e-80,0.391217073050868,0.463,0.214,3.0917159227353e-76,"1","CA4"
8.85063532087025e-80,0.411508862431968,0.971,0.945,1.1818253343958e-75,"1","BOLA"
4.13670641945966e-78,0.265466437797745,0.998,0.999,5.52374408190448e-74,"1","RPL26"
3.2400498008672e-77,0.352575853877748,0.497,0.243,4.32643849909798e-73,"1","RAMP2"
3.04126340657041e-76,0.250502480082063,0.999,1,4.06099902679347e-72,"1","RPS13"
3.51319739106348e-76,0.378391496913667,0.486,0.239,4.69117247628706e-72,"1","PRSS23"
3.98239407425993e-76,0.336428340951302,0.395,0.169,5.31769080735929e-72,"1","HMGB2"
1.02182796068046e-75,0.376117986208113,0.472,0.227,1.36444687589662e-71,"1","TGFBR2"
1.78360463931766e-75,0.284240586537806,0.319,0.115,2.38164727488088e-71,"1","FLT1"
2.49579762482791e-75,0.333455869105008,0.394,0.169,3.3326385684327e-71,"1","COL15A1"
3.55365522388468e-75,0.356034173650159,0.593,0.334,4.74519582045321e-71,"1","MT1E"
3.49352990635247e-74,0.258482172026854,0.315,0.113,4.66491048395245e-70,"1","NAP1L1"
2.7456366401719e-73,0.284903701108625,0.341,0.133,3.66624860562153e-69,"1","FGFR2"
4.02758596212984e-73,0.364831387441179,0.557,0.307,5.37803553523197e-69,"1","STMN1"
3.18842750431343e-71,0.339408794627902,0.694,0.432,4.25750724650972e-67,"1","PPIA"
1.69715192402006e-70,0.306756658198991,0.373,0.159,2.26620696414398e-66,"1","TMEM204"
3.88670453058073e-70,0.630031629240158,0.854,0.802,5.18991655968446e-66,"1","PLVAP"
5.40252154903414e-70,0.292941199664991,0.464,0.225,7.21398702442529e-66,"1","EIF3F"
2.25263090561989e-69,0.37572186639569,0.858,0.729,3.00793804827424e-65,"1","FXYD6"
2.28772290730115e-69,0.385384439979722,0.968,0.949,3.05479639811923e-65,"1","B2M"
6.66755715847205e-68,0.333402559424308,0.93,0.847,8.90318907370773e-64,"1","RNASE4"
1.00145218697974e-67,0.276504857528726,0.549,0.298,1.33723910527404e-63,"1","IFITM3"
3.3094307294534e-67,0.311998659937279,0.369,0.16,4.41908285303912e-63,"1","CD34"
7.84668421568113e-67,0.329839697402135,0.664,0.409,1.0477677433199e-62,"1","SERPINH1"
1.45327298308991e-66,0.261431842567826,0.322,0.126,1.94055541431995e-62,"1","ENSBTAG00000031548"
1.68353544345668e-66,0.327890715958697,0.428,0.207,2.24802487764771e-62,"1","KDR"
2.78929796521747e-66,0.2995570302331,0.785,0.598,3.72454957295489e-62,"1","SERF2"
4.63437214115636e-66,0.387007146929964,0.988,0.96,6.18827712008608e-62,"1","JSP.1"
5.45274115988338e-66,0.330785575103733,0.519,0.281,7.28104527079228e-62,"1","KRT19"
9.09658637122375e-66,0.314562196330392,0.503,0.259,1.21466717814951e-61,"1","ENSBTAG00000040393"
9.58314941398208e-66,0.306653072181339,0.986,0.958,1.27963794124903e-61,"1","IL1R2"
1.7586139884282e-64,0.407304373077193,0.603,0.373,2.34827725874818e-60,"1","ENG"
3.77991054956467e-64,0.300234686195023,0.628,0.375,5.0473145568337e-60,"1","ATP5MC2"
7.31115305830932e-64,0.304121587025155,0.966,0.942,9.76258267876043e-60,"1","ADIRF"
2.79709118294446e-63,0.299687947728522,0.566,0.323,3.73495585658573e-59,"1","RIPK4"
2.47818715869574e-62,0.320589173847703,0.702,0.472,3.30912331300642e-58,"1","RPL36AL"
2.10467475302995e-61,0.310815152978069,0.919,0.858,2.81037219772089e-57,"1","COL17A1"
7.54954471325603e-61,0.332179387880765,0.66,0.429,1.00809070556108e-56,"1","PHGDH"
9.0142019878261e-60,0.35648641359267,0.869,0.771,1.20366639143442e-55,"1","RBP4"
2.21944450927781e-59,0.265712559762276,0.365,0.167,2.96362425323866e-55,"1","MT3"
7.31053887860028e-59,0.265989295939547,0.404,0.195,9.76176256459495e-55,"1","PID1"
1.67146400544498e-58,0.26819183497214,0.53,0.294,2.23190588647069e-54,"1","PIK3R2"
2.44648075102271e-58,0.345173152679411,0.543,0.318,3.26678574684062e-54,"1","RAMP3"
4.44205018295223e-58,0.303447708052363,0.886,0.815,5.93146960929612e-54,"1","ENSBTAG00000050377"
2.90893831830764e-57,0.286643450719555,0.506,0.282,3.88430533643619e-53,"1","NONO"
2.97277024678511e-57,0.267903307843529,0.557,0.318,3.96954011053215e-53,"1","DIPK1C"
5.69347230991144e-57,0.257605415394346,0.43,0.219,7.60249357542475e-53,"1","PSMB8"
7.8084534388801e-57,0.260378427300578,0.373,0.176,1.04266278769366e-52,"1","PTK7"
2.72632711135869e-55,0.299183020168879,0.959,0.931,3.64046459179726e-51,"1","METTL7A"
9.3391930601847e-55,0.272815577629643,0.516,0.291,1.24706244932646e-50,"1","PGM1"
3.23087557593608e-54,0.25313203224027,0.359,0.168,4.31418815654745e-50,"1","CD93"
3.89610878122503e-54,0.25127224631381,0.452,0.241,5.20247405556979e-50,"1","TNS4"
1.13975881918348e-53,0.276732362432056,0.594,0.366,1.52191995125571e-49,"1","LMNA"
1.76131509675536e-53,0.279984614584736,0.567,0.337,2.35188404869743e-49,"1","UACA"
2.35889573663443e-53,0.252881954699438,0.474,0.26,3.14983347712795e-49,"1","ENSBTAG00000025385"
9.38422261327965e-53,0.373680383022916,0.624,0.419,1.25307524555123e-48,"1","CLEC3B"
1.50579450972065e-52,0.318662466118198,0.719,0.522,2.01068740882999e-48,"1","ATP5F1A"
4.08501040011204e-52,0.253170259119821,0.495,0.278,5.45471438726961e-48,"1","NOP56"
1.02814534648759e-51,0.276898803293943,0.49,0.281,1.37288248116488e-47,"1","CERS2"
2.7829292277769e-51,0.327830878035794,0.674,0.475,3.71604539785049e-47,"1","DUT"
6.07990649225861e-51,0.333729280664205,0.941,0.924,8.11849913911293e-47,"1","ENSBTAG00000048782"
8.41561906008621e-51,0.279426979421499,0.601,0.383,1.12373761309331e-46,"1","CALU"
1.27167441355354e-50,0.272226574462663,0.432,0.23,1.69806684441804e-46,"1","GNG11"
1.55575243765983e-50,0.382553561123387,0.779,0.644,2.07739623000717e-46,"1","PTMA"
3.22164834795133e-50,0.261131487435627,0.481,0.276,4.30186703901941e-46,"1","SLC1A5"
5.26127281179012e-50,0.259689968499741,0.554,0.334,7.02537758558335e-46,"1","PPA2"
8.33475494911485e-49,0.297275833243375,0.942,0.91,1.11293982835531e-44,"1","ENSBTAG00000039289"
2.80050458011116e-48,0.262907254128004,0.51,0.299,3.73951376582243e-44,"1","PCNA"
3.36503103335839e-48,0.302736266325881,0.518,0.312,4.49332593884346e-44,"1","PLPP3"
